Derek & The Dominos, 'Layla'
Train, '50 Ways to Say Goodbye'
Pink Floyd, 'The Great Gig in the Sky'
SZA, 'Kill Bill'
Joan Jett & the Blackhearts, 'I Hate Myself for Loving You'
Joan Jett & the Blackhearts, 'I Love Rock 'N Roll'
AJR, 'Turning Out'
Lady Gaga, 'Replay'
AJR, 'The Good Part'
The Cramps, 'Goo Goo Muck'
CAKE, 'Never There'
Nelly Furtado, 'Maneater'
Sia, 'Elastic Heart'
Alex Clare, 'Too Close'
ABBA, 'Money, Money, Money'
Joe Tex, 'I GOTCHA'
Bootsy Collins, 'I'd Rather Be with You'
Bee Gees, 'More Than a Woman'
Alice Cooper, 'Ballad of Dwight Fry'
Mel McDaniel, 'Baby's Got Her Blue Jeans On'
David Lee Roth, 'Yankee Rose'
JVKE, 'Golden Hour'
Bob Marley & The Wailers, 'Could You Be Loved'
Andre Prando, 'Ode a Nudez'
Manu Chao, 'Me Gustas Tu'
Shakira, 'She Wolf'
Blue October, 'I Hope You're Happy'
Gorilaz, 'Skinny Ape'
Tame Impala, 'New Person, Same Old Mistakes'
Miley Cyrus, 'Flowers'
ABBA, 'The Winner Takes It All'
Blue October, 'Oh My My'
Hotel Ugly, 'Stevie Doesn't Wonder'
UNKLE, 'With You in My Head'
Metallica, 'One'
The Charlie Daniels Band, 'The Devil Went Down to Georgia'
Tears For Fears, 'Head Over Heels'
Tame Impala, 'Borderline'
Pitbull, 'Hotel Room Service'
Randall King, 'You In A Honky Tonk'
Jay & The Americans, 'Come A Little Bit Closer'
Rammstein, 'Sonne'
Ghost, 'Circe'
The Killers, 'All These Things That I've Done'
Black Sabbath, 'Iron Man'
Wham!, 'Everything She Wants'
Dr. Dog, 'Where'd All the Time Go?'
Hotel Ugly, 'Shut Up My Moms Calling'
The Jim Carrol Band, 'People Who Died'
MGMT, 'Electric Feel'
MGMT, 'Kids'
Sick Puppies, 'You're Going Down'
Audioslave, 'Show Me How to Live'
Sia, 'Unstoppable'
System Of A Down, 'Lonely Day'
Taylor Swift, 'Don't Blame Me'
Kanye West, 'Stronger'
Carly Simon, 'You're So Vain'
Cyndi Lauper, 'Time After Time'
The Pixies, 'Where Is My Mind?'
Guns N' Roses, 'Welcome to the Jungle'
Weeser, 'Buddy Holly'
Janet Jackson, 'Rhythm nation'
The Animals, 'The House of the Rising Sun'
Nirvana, 'Come as You Are'
Beck, 'Loser'
Bon Jovi, 'Livin' on a prayer'
The Rolling Stones, 'She's A Rainbow'
Jefferson Airplane, 'White Rabbit'
Toto, 'Africa'
Prince, 'Adore'
Kendrick Lamar, 'Money Trees'
Mary J. Blige FEAT. Drake, 'Mr. Wrong'
New Order, 'Blue Monday'
Depeche Mode, 'Enjoy the Silence'
The Mamas & The Papas, 'California Dreamin''
Mac Miller, 'Jet Fuel'
The Strokes, 'Ode To The Mets'
Wind Rose, 'Diggy Diggy Hole'
Adele, 'My Little Love'
Brenda Lee, 'Emotions'
TV Girl, 'Lovers Rock'
Tyler Childers, 'All Your'n'
Marvin Berry and The starlighters, 'Earth Angel'
Cascada, 'Evacuate The Dancefloor'
The Vaccienes, 'I Always Knew'
Elton John, 'Rocket Man'
Metallica, 'Fade To Black'
Zach Bryan, 'Something in the Orange'
Keane, 'Somewhere Only We Know'
D4VD, 'Here With Me'
Cults, 'Gilded Lily'
Stephen Sanchez, 'Until I Found You'
Lyn Lapid, 'In My Mind'
Kylie Minogue, 'Can't Get You out of My Head'
Kxllswxtch, '...OH... LOVE?'
Kendrick Lamar, 'Count Me Out'
Earth, Wind & Fire, 'Let's Groove'
Omar Apollo, 'Evergreen'
Kanye West, 'Ghost Town'
Cooper Alan, 'The Fridge'
Beastie Boys, 'Brass Monkey'
Crawlers, 'Come Over(Again)'
Carla, 'Bim Bam toi'
SZA, 'Awkward'
Enigma, 'Sadness'
Will Paquin, 'Chandelier'
Radiohead, 'No Surprises'
The Licks, 'Lavender Kiss'
Yellow Days, 'Just When'
Michael Jackson, 'Beat It'
Soundgarden, 'Black Hole Son'
Alice Phoebe Lou, 'Witches'
BabyJake, 'Head In The Clouds'
Binki, 'Heybb!'
Foo Fighters, 'Everlong'
Nickelback, 'She Keeps Me Up'
Kanye West, 'Bound 2'
Kali Uchis, 'Loner'
Alicia Keys, 'You Don't Know My Name'
Of Monsters and Men, 'Dirty Paws'
Oliver Tree, 'Cowboys Don't Cry'
Kanye West, 'All Mine'
Steve Lacy, 'Static'
Missy Elliot, 'Work It'
The Smashing Pumpkins, 'Zero'
Franz Ferdinand, 'Take Me Out'
Red Hot Chili Peppers, 'Soul to Squeeze'
Judah & the Lion, 'Take It All Back 2.0'
Lizzo, 'Cuz I Love You'
The Moody Blues, 'Nights In White Satin'
Steve Miller Band, 'The Joker'
